index,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
3022,City Hotel,0,35,2017,June,24,13,2,5,2,0.0,0,HB,ROU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,196.14,0,1,Check-Out,2017-06-20,Frank Harrison,Harrison_Frank38@att.com,532-723-1425,************9677
3023,City Hotel,1,391,2016,August,32,4,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,Mrs. Janet Herrera DDS,Mrs._D@yahoo.com,956-774-8839,************2477
3024,Resort Hotel,0,32,2016,February,7,8,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,115.0,,0,Transient,33.3,0,0,Check-Out,2016-02-15,Robert Mayer,Mayer.Robert@yahoo.com,989-002-5503,************4617
3025,Resort Hotel,0,300,2017,July,31,30,2,5,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient-Party,149.81,1,2,Check-Out,2017-08-06,Robert Savage,Robert.S93@outlook.com,578-585-3762,************7771
3026,Resort Hotel,1,334,2017,August,31,1,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,156.6,0,0,Canceled,2016-09-03,Sally Johnson,Sally_Johnson20@hotmail.com,664-704-1684,************6523
3027,City Hotel,0,22,2017,June,26,27,0,1,2,0.0,0,SC,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,89.0,0,0,Check-Out,2017-06-28,Pamela Jensen,Pamela.Jensen@mail.com,391-458-8636,************3705
3028,City Hotel,0,53,2015,August,35,24,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-08-26,Kenneth Cox,Kenneth.Cox16@hotmail.com,505-515-5509,************6489
3029,City Hotel,1,143,2016,October,41,6,0,3,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,151.2,0,1,Canceled,2016-09-27,Gary Phillips,Phillips_Gary@verizon.com,126-342-3895,************9348
3030,Resort Hotel,0,1,2016,March,13,20,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,64.0,1,1,Check-Out,2016-03-21,Jeffrey Bailey,Jeffrey.B@verizon.com,670-667-2092,************4901
3031,Resort Hotel,0,167,2016,June,26,19,4,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Transient,66.98,0,1,Check-Out,2016-07-01,Sabrina Lynch,Lynch_Sabrina@xfinity.com,820-030-5196,************8888
3032,Resort Hotel,0,1,2016,October,42,11,0,1,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240.0,,0,Transient,62.0,1,2,Check-Out,2016-10-12,Jasmine Long,JLong92@xfinity.com,667-315-9732,************4015
3033,City Hotel,1,113,2016,June,27,30,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,192.0,,0,Transient,85.0,0,0,Canceled,2016-03-16,Charles Sherman,Charles_S71@aol.com,927-182-9675,************5069
3034,City Hotel,0,122,2017,May,21,21,2,1,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,1,Check-Out,2017-05-24,Melissa Schmidt,Melissa.Schmidt82@zoho.com,106-270-3697,************1663
3035,City Hotel,1,17,2016,June,27,30,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,151.0,0,1,Canceled,2016-06-15,Benjamin Melton,Benjamin.M@yandex.com,961-902-2239,************4311
3036,City Hotel,0,8,2016,July,31,26,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2016-07-27,Cynthia Marquez,Cynthia.Marquez59@mail.com,802-054-0331,************2081
3037,Resort Hotel,1,152,2016,August,32,1,2,5,2,2.0,0,HB,PRT,Direct,Direct,0,0,0,C,C,1,No Deposit,250.0,,0,Transient,212.14,0,0,Canceled,2016-07-11,William Gaines,William.Gaines@verizon.com,856-943-9465,************1644
3038,Resort Hotel,0,0,2016,November,45,5,0,1,2,0.0,0,BB,MAR,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,84.0,1,0,Check-Out,2016-11-06,Justin Grant,Justin_G@yandex.com,152-577-4548,************7517
3039,City Hotel,0,98,2016,July,29,16,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,121.5,0,2,Check-Out,2016-07-18,Dana Johnson,Johnson_Dana@yandex.com,126-427-4503,************4171
3040,City Hotel,0,1,2015,October,41,7,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,9.0,,0,Contract,155.0,0,0,Check-Out,2015-10-09,Monica Evans,Monica.Evans75@mail.com,326-819-9166,************9228
3041,City Hotel,0,0,2016,January,4,17,1,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,89.0,0,1,Check-Out,2016-01-18,Veronica Daniels,Daniels_Veronica@yahoo.com,600-594-6402,************6586
3042,City Hotel,1,39,2016,June,27,26,2,0,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,0,Canceled,2016-05-23,Mr. Daniel Hall,MHall@comcast.net,917-938-8540,************3787
3043,City Hotel,0,89,2016,December,51,17,2,6,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,9.0,,0,Transient,74.8,0,4,Check-Out,2016-12-25,Elizabeth Buck,Elizabeth.Buck@comcast.net,408-791-3397,************5256
3044,City Hotel,1,52,2017,March,11,13,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,56.0,,0,Transient,80.0,0,0,Canceled,2017-01-20,Tracey Long,Long.Tracey78@xfinity.com,992-855-8303,************1572
3045,Resort Hotel,0,1,2015,December,52,22,0,1,2,0.0,0,BB,,Corporate,Corporate,0,0,9,D,D,0,No Deposit,,204.0,0,Transient,50.0,0,2,Check-Out,2015-12-23,Lisa Barrett,LBarrett@xfinity.com,238-804-7044,************1643
3046,City Hotel,0,6,2017,April,14,2,1,0,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,95.0,0,1,Check-Out,2017-04-03,Kimberly Humphrey,Humphrey.Kimberly@zoho.com,784-776-0436,************2050
3047,City Hotel,0,125,2015,December,52,23,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,72.25,0,2,Check-Out,2015-12-27,Amber Cannon,Cannon.Amber@protonmail.com,352-713-1487,************3615
3048,City Hotel,1,50,2017,April,17,25,0,4,1,0.0,0,BB,CYP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,0,Canceled,2017-03-31,Courtney Curry,Curry.Courtney@comcast.net,784-879-3458,************5122
3049,City Hotel,1,76,2017,May,19,9,0,5,2,0.0,0,BB,FIN,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,126.0,0,1,Canceled,2017-02-23,Teresa Baker,Baker_Teresa@gmail.com,567-497-9203,************2158
3050,Resort Hotel,1,111,2017,April,15,14,2,3,1,0.0,0,BB,MDV,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,61.0,0,1,Canceled,2017-02-21,Brian Smith,Smith.Brian@xfinity.com,384-105-7436,************6580
3051,City Hotel,1,64,2016,March,11,9,1,4,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.95,0,1,Canceled,2016-01-15,Daniel Johnson,Johnson_Daniel@protonmail.com,551-418-8894,************9002
3052,City Hotel,0,84,2017,April,14,6,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,127.8,0,3,Check-Out,2017-04-09,William Ramirez,William_Ramirez@comcast.net,831-701-7731,************3337
3053,City Hotel,0,0,2017,March,12,20,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,108.0,0,0,Check-Out,2017-03-21,Jamie Ramsey,Ramsey.Jamie@zoho.com,738-961-4654,************4360
3054,City Hotel,1,56,2016,September,36,2,0,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,0,Canceled,2016-07-13,James Morris,James_M@aol.com,102-699-0012,************4380
3055,Resort Hotel,1,32,2017,April,14,7,2,5,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,159.29,0,0,Canceled,2017-03-25,David Melendez,David_M@protonmail.com,677-580-1129,************6762
3056,City Hotel,0,34,2015,August,32,5,0,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-08-07,Cheryl Schmidt,Cheryl.S@hotmail.com,882-272-0770,************7377
3057,City Hotel,0,0,2015,November,45,5,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,135.0,0,Transient,89.0,0,0,Check-Out,2015-11-06,Anthony Schaefer,ASchaefer@xfinity.com,550-996-3611,************3858
3058,Resort Hotel,1,45,2017,April,14,8,0,1,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,138.4,0,1,Canceled,2017-03-10,Sarah Dickerson,SarahDickerson92@aol.com,934-945-1337,************6283
3059,City Hotel,1,6,2015,October,43,19,1,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,10.0,,0,Transient,102.6,0,0,Canceled,2015-10-15,Scott Kline,ScottKline@outlook.com,287-927-0288,************5318
3060,Resort Hotel,1,59,2017,April,17,28,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,115.0,0,0,Canceled,2017-02-28,Stephen Ramos,Ramos_Stephen@zoho.com,997-559-9304,************8544
3061,City Hotel,0,2,2016,June,25,15,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,D,D,0,No Deposit,,219.0,0,Transient,119.0,1,1,Check-Out,2016-06-16,Tony Murphy,Murphy_Tony@mail.com,870-796-9403,************8900
3062,City Hotel,1,78,2017,July,27,7,1,2,3,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,190.0,0,0,Canceled,2017-04-24,Christopher Johnson,Christopher.Johnson@comcast.net,901-921-2018,************8997
3063,City Hotel,0,44,2016,November,47,14,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,2,Check-Out,2016-11-19,Kirk Morris,Kirk.Morris24@att.com,724-364-1614,************1346
3064,Resort Hotel,0,21,2015,August,35,26,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,172.0,0,2,Check-Out,2015-08-27,Mrs. Brittany Ramos MD,Mrs._M@xfinity.com,457-235-6240,************3917
3065,Resort Hotel,0,6,2016,October,44,26,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,46.0,0,2,Check-Out,2016-10-27,Madeline Ramos,MadelineRamos@verizon.com,733-776-9081,************7082
3066,Resort Hotel,0,186,2016,December,50,10,2,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,339.0,,0,Transient,36.24,1,0,Check-Out,2016-12-15,Ms. Sarah Gonzalez,Ms.Gonzalez@xfinity.com,183-641-0680,************7005
3067,Resort Hotel,0,192,2016,March,13,25,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,50.4,0,2,Check-Out,2016-03-28,Rachel Lucero,Rachel.Lucero75@mail.com,439-819-5646,************5996
3068,Resort Hotel,1,65,2017,May,18,3,3,9,2,0.0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0,Canceled,2017-03-21,Bryan Galvan,BryanGalvan@comcast.net,895-547-2298,************8315
3069,City Hotel,0,69,2017,May,19,9,0,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,155.33,0,0,Check-Out,2017-05-12,Jason Cook,Jason.C@aol.com,722-726-7692,************6743
3070,City Hotel,0,29,2017,January,3,18,0,3,1,0.0,0,BB,NOR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient-Party,65.0,0,0,Check-Out,2017-01-21,Bryan Rivera,Bryan.Rivera@outlook.com,257-485-6451,************1927
3071,Resort Hotel,0,169,2016,March,14,31,1,3,2,0.0,0,BB,NLD,Groups,Direct,0,0,0,A,A,0,Refundable,,223.0,0,Transient-Party,66.0,0,0,Check-Out,2016-04-04,Kelsey Martin,Kelsey.M@verizon.com,325-494-6133,************2707
3072,Resort Hotel,1,30,2016,May,21,15,2,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,113.19,0,1,Canceled,2016-04-18,Denise Jackson,Jackson.Denise17@zoho.com,209-286-2111,************3198
3073,Resort Hotel,0,1,2016,February,9,24,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,15.0,,0,Transient,25.0,1,0,Check-Out,2016-02-25,Alexis Smith,AlexisSmith@protonmail.com,712-507-5197,************9063
3074,Resort Hotel,1,302,2017,May,19,9,0,4,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,81.0,0,0,Canceled,2016-08-25,Christopher White,White_Christopher@aol.com,203-865-2674,************5869
3075,City Hotel,0,215,2016,November,48,21,1,1,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,D,2,No Deposit,,233.0,0,Transient,85.0,0,0,Check-Out,2016-11-23,John Middleton,JohnMiddleton@zoho.com,510-272-4357,************2346
3076,City Hotel,1,178,2016,April,18,28,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,46,Transient,110.0,0,0,Canceled,2015-12-18,Debbie Lee,DLee@xfinity.com,374-605-3888,************6688
3077,Resort Hotel,1,0,2015,August,36,31,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,96.33,0,1,No-Show,2015-08-31,Barbara Johnson,Johnson.Barbara31@yahoo.com,112-823-9021,************5018
3078,City Hotel,1,134,2015,December,49,4,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,91,Transient,65.0,0,0,Canceled,2015-10-22,Shannon Brennan,Shannon_Brennan@comcast.net,395-402-6483,************5846
3079,City Hotel,0,16,2017,June,25,22,1,3,2,1.0,0,BB,KEN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,200.0,0,2,Check-Out,2017-06-26,Jennifer Brown,Jennifer.Brown@mail.com,899-820-4071,************3166
3080,Resort Hotel,0,10,2015,August,36,30,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,121.8,0,0,Check-Out,2015-09-04,Chase Cruz,Cruz_Chase@hotmail.com,400-692-6344,************2834
3081,City Hotel,0,86,2016,May,21,20,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,65.0,0,1,Check-Out,2016-05-23,Kaitlyn Powers,Powers_Kaitlyn@hotmail.com,954-204-6267,************8679
3082,City Hotel,0,33,2016,March,12,15,0,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,71.1,0,1,Check-Out,2016-03-18,Terry Morgan,Terry_Morgan@verizon.com,222-546-0555,************7139
3083,City Hotel,0,151,2017,March,12,20,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,C,0,No Deposit,37.0,,0,Transient-Party,95.0,0,0,Check-Out,2017-03-22,Laura Welch,LauraWelch26@hotmail.com,163-874-3672,************6734
3084,City Hotel,0,4,2017,January,2,10,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,10,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2017-01-13,Mark Williams,MWilliams@verizon.com,389-528-9432,************2731
3085,Resort Hotel,1,40,2016,May,21,18,0,2,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,,,0,Transient,55.0,0,0,Canceled,2016-04-13,Terry Durham,TerryDurham@xfinity.com,546-246-2108,************8491
3086,City Hotel,0,5,2017,June,25,19,1,0,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,190.0,0,1,Check-Out,2017-06-20,William Wang,William.W@mail.com,594-384-3615,************9541
3087,Resort Hotel,0,165,2015,December,53,30,0,4,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308.0,,122,Transient-Party,136.5,0,0,Check-Out,2016-01-03,Gregory Doyle,Gregory_D44@verizon.com,588-185-1318,************2993
3088,City Hotel,1,117,2016,June,25,16,1,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.45,0,0,Canceled,2016-02-25,Samantha Golden,SGolden@verizon.com,796-424-4933,************5373
3089,Resort Hotel,0,150,2015,October,42,15,2,4,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Contract,33.3,0,0,Check-Out,2015-10-21,Christian Howard,CHoward34@zoho.com,469-807-7174,************7534
3090,Resort Hotel,0,0,2016,January,5,27,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,45.0,0,0,Check-Out,2016-01-28,Michael Johnson,Michael.Johnson28@verizon.com,174-372-7452,************6065
3091,Resort Hotel,0,2,2016,April,15,8,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,4,No Deposit,146.0,,0,Transient-Party,54.0,0,0,Check-Out,2016-04-09,Richard Gutierrez,RichardGutierrez@hotmail.com,872-776-6991,************6000
3092,City Hotel,0,1,2016,January,2,3,2,1,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,F,2,No Deposit,9.0,,0,Transient,92.0,0,0,Check-Out,2016-01-06,Gregory White,Gregory_White@yahoo.com,953-150-9093,************1907
3093,Resort Hotel,0,64,2015,August,34,20,2,4,3,1.0,0,HB,MAR,Offline TA/TO,TA/TO,0,0,0,C,C,4,No Deposit,142.0,,0,Transient,163.23,0,0,Check-Out,2015-08-26,Tanya Pearson,TPearson@hotmail.com,809-640-3602,************9634
3094,City Hotel,1,56,2016,May,23,30,1,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,120.0,0,0,Canceled,2016-05-02,Austin Palmer,Austin.Palmer38@comcast.net,621-622-0086,************8501
3095,City Hotel,0,1,2016,January,5,26,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,8,A,A,0,No Deposit,,40.0,0,Transient,66.0,0,0,Check-Out,2016-01-27,Cynthia Chandler,Cynthia.Chandler@gmail.com,515-719-4973,************6565
3096,City Hotel,1,36,2015,August,32,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-31,Anthony Long,Anthony.Long@hotmail.com,875-667-8293,************9969
3097,City Hotel,0,448,2017,June,24,17,2,1,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,112.67,0,1,Check-Out,2017-06-20,Jeffrey Martinez,Jeffrey.Martinez57@xfinity.com,427-657-6259,************7262
3098,Resort Hotel,0,113,2016,April,18,26,0,2,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241.0,,0,Transient,78.31,0,1,Check-Out,2016-04-28,Kristy Smith,Kristy.Smith@yandex.com,983-041-9385,************9487
3099,City Hotel,0,0,2016,March,14,31,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,1,Check-Out,2016-04-03,John Olson,JOlson@xfinity.com,380-266-7210,************8845
3100,City Hotel,0,34,2017,January,3,18,0,1,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,19.0,,0,Transient-Party,75.0,0,0,Check-Out,2017-01-19,James Bennett,JamesBennett56@yahoo.com,662-304-6391,************2279
3101,Resort Hotel,1,305,2017,July,26,1,2,4,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,179.0,0,1,Canceled,2016-09-04,John Barrett,JohnBarrett@yahoo.com,509-055-6309,************5319
3102,City Hotel,0,414,2017,July,28,13,0,2,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,122.4,0,1,Check-Out,2017-07-15,Brian Brooks,Brooks_Brian32@xfinity.com,894-612-6459,************4685
3103,Resort Hotel,0,4,2016,August,35,25,0,0,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,D,D,2,No Deposit,250.0,,0,Transient,0.0,0,1,Check-Out,2016-08-25,Sandra Morris,Morris.Sandra@verizon.com,197-347-4742,************7260
3104,City Hotel,0,85,2017,March,10,8,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.2,0,0,Check-Out,2017-03-11,Jeffrey Jenkins,Jeffrey_Jenkins@protonmail.com,619-134-9642,************9019
3105,City Hotel,1,19,2015,October,41,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82.0,,0,Transient,90.0,0,0,Canceled,2015-09-17,Michael Beard,Michael_B47@comcast.net,382-723-2590,************5556
3106,City Hotel,1,91,2016,March,12,18,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,20,Transient,75.0,0,0,Canceled,2016-02-03,Renee Williams,Renee.W19@att.com,257-232-4520,************2837
3107,City Hotel,1,116,2016,February,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,61.0,0,0,No-Show,2016-02-28,Destiny Duncan,Duncan.Destiny@xfinity.com,574-052-4294,************2269
3108,City Hotel,0,205,2016,September,37,6,0,1,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,E,1,No Deposit,9.0,,0,Transient,143.1,0,0,Check-Out,2016-09-07,Zachary Morrow,Morrow.Zachary36@gmail.com,877-391-0388,************7365
3109,City Hotel,1,92,2016,August,34,20,2,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1,Canceled,2016-07-14,Jodi Miller,JodiMiller@gmail.com,392-817-6000,************1500
3110,Resort Hotel,1,25,2017,February,6,9,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,58.0,0,0,Canceled,2017-01-15,Cory Brown Jr.,Cory_Jr.@comcast.net,662-721-9261,************3250
3111,City Hotel,1,28,2016,April,17,17,2,1,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,115.03,0,1,Canceled,2016-03-26,Monique Brown,MBrown@comcast.net,709-241-2527,************1608
3112,City Hotel,0,90,2016,March,13,25,2,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient,79.8,0,1,Check-Out,2016-03-29,Alexa Cunningham,Cunningham_Alexa@comcast.net,890-153-1570,************1666
3113,City Hotel,0,22,2016,November,47,14,1,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7.0,,0,Transient,64.37,0,1,Check-Out,2016-11-17,Joyce Rice,Rice.Joyce45@comcast.net,876-346-0481,************6095
3114,City Hotel,0,169,2017,June,24,16,1,2,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,130.5,0,1,Check-Out,2017-06-19,Blake Mcbride,Mcbride_Blake89@yahoo.com,707-777-7010,************3194
3115,Resort Hotel,0,72,2017,May,18,4,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,52.85,0,0,Check-Out,2017-05-11,William Johnson,William.J15@yandex.com,425-744-1849,************2603
3116,City Hotel,0,0,2015,August,35,26,0,1,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,151.0,0,0,Check-Out,2015-08-27,Sara Lambert,Sara_L66@aol.com,311-532-6361,************1934
3117,Resort Hotel,1,32,2015,September,38,18,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,126.0,0,0,Canceled,2015-08-22,Samantha Stafford,Samantha.Stafford@xfinity.com,193-628-2872,************1843
3118,Resort Hotel,0,49,2016,November,46,11,1,2,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient,58.4,1,0,Check-Out,2016-11-14,Brandy Wilson,Wilson.Brandy@mail.com,324-009-5963,************2842
3119,Resort Hotel,0,1,2015,December,49,3,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,146.0,,0,Transient,25.0,0,0,Check-Out,2015-12-04,Arthur Ballard,Arthur_Ballard@verizon.com,462-134-0404,************8492
3120,Resort Hotel,0,239,2015,September,38,19,1,1,1,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,248.0,,0,Transient-Party,59.0,0,0,Check-Out,2015-09-21,Greg Melton,Greg.Melton98@comcast.net,939-819-0896,************1135
3121,City Hotel,0,121,2016,December,52,24,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,1,Check-Out,2016-12-29,Jessica Webb,Jessica_W@att.com,995-773-3967,************8539
